FIPS,State,Area_Name,POP_ESTIMATE_2018
00000,US,United States,"327,167,434"
01000,AL,Alabama,"4,887,871"
01001,AL,Autauga County,"55,601"
01003,AL,Baldwin County,"218,022"
01005,AL,Barbour County,"24,881"
01007,AL,Bibb County,"22,400"
01009,AL,Blount County,"57,840"
01011,AL,Bullock County,"10,138"
01013,AL,Butler County,"19,680"
01015,AL,Calhoun County,"114,277"
01017,AL,Chambers County,"33,615"
01019,AL,Cherokee County,"26,032"
01021,AL,Chilton County,"44,153"
01023,AL,Choctaw County,"12,841"
01025,AL,Clarke County,"23,920"
01027,AL,Clay County,"13,275"
01029,AL,Cleburne County,"14,987"
01031,AL,Coffee County,"51,909"
01033,AL,Colbert County,"54,762"
01035,AL,Conecuh County,"12,277"
01037,AL,Coosa County,"10,715"
01039,AL,Covington County,"36,986"
01041,AL,Crenshaw County,"13,824"
01043,AL,Cullman County,"83,442"
01045,AL,Dale County,"48,956"
01047,AL,Dallas County,"38,310"
01049,AL,DeKalb County,"71,385"
01051,AL,Elmore County,"81,887"
01053,AL,Escambia County,"36,748"
01055,AL,Etowah County,"102,501"
01057,AL,Fayette County,"16,433"
01059,AL,Franklin County,"31,363"
01061,AL,Geneva County,"26,314"
01063,AL,Greene County,"8,233"
01065,AL,Hale County,"14,726"
01067,AL,Henry County,"17,209"
01069,AL,Houston County,"104,722"
01071,AL,Jackson County,"51,736"
01073,AL,Jefferson County,"659,300"
01075,AL,Lamar County,"13,844"
01077,AL,Lauderdale County,"92,387"
01079,AL,Lawrence County,"32,957"
01081,AL,Lee County,"163,941"
01083,AL,Limestone County,"96,174"
01085,AL,Lowndes County,"9,974"
01087,AL,Macon County,"18,439"
01089,AL,Madison County,"366,519"
01091,AL,Marengo County,"19,066"
01093,AL,Marion County,"29,763"
01095,AL,Marshall County,"96,109"
01097,AL,Mobile County,"413,757"
01099,AL,Monroe County,"21,067"
01101,AL,Montgomery County,"225,763"
01103,AL,Morgan County,"119,089"
01105,AL,Perry County,"9,140"
01107,AL,Pickens County,"19,938"
01109,AL,Pike County,"33,338"
01111,AL,Randolph County,"22,725"
